UsingModule;Table;C;R;U;D;HostingModule;Service Description 
auxiliary;LCLIS;;x;;;CORE;
Financial_Markets;LCORO;;x;;;Account_Management;
Cash_Management;LCORO;;x;;;Account_Management;
CORE;LCORO;;x;;;Account_Management;
auxiliary;LCORO;;x;;;Account_Management;
Financial_Markets;LCPSS;;x;;;Account_Management;
auxiliary;LCPSS;;x;;;Account_Management;
Account_Management;LCRYS;;x;;;CORE;
Lending;LCRYS;;x;;;CORE;
Financial_Markets;LCRYS;;x;;;CORE;
Cash_Management;LCRYS;;x;;;CORE;
auxiliary;LCRYS;;x;;;CORE;
CORE;LCSTL;;;;x;CORE;
Account_Management;LCSTS;;x;;;CORE;
auxiliary;LCSTS;;x;;;CORE;
CORE;LCTIO;;x;;x;Account_Management;
auxiliary;LCTIO;;x;;x;Account_Management;
Account_Management;LCTPL;x;;;;Account_Management;
Financial_Markets;LCTPL;x;;;;Account_Management;
CORE;LCTPL;x;;;;Account_Management;
Lending;LCTPS;;x;;;Account_Management;Get Party Info 
Financial_Markets;LCTPS;;x;;;Account_Management;
Cash_Management;LCTPS;;x;;;Account_Management;
CORE;LCTPS;;x;;;Account_Management;
auxiliary;LCTPS;;x;;;Account_Management;
Account_Management;LCTSL;;;;x;Account_Management;
Financial_Markets;LCTSL;;;;x;Account_Management;
Lending;LCTSO;;x;;;Account_Management;Get Party Info 
Financial_Markets;LCTSO;;x;;;Account_Management;
CORE;LCTSO;;x;;;Account_Management;
auxiliary;LCTSO;;x;;;Account_Management;
CORE;LEBAO;x;x;x;x;Account_Management;
Account_Management;LELCL;x;;;;Account_Management;
Lending;LELCS;;x;;;Account_Management;Get Party Info Info (electronic address)
Financial_Markets;LELCS;;x;;;Account_Management;
Cash_Management;LELCS;;x;;;Account_Management;[T] Get Party Info
CORE;LELCS;;x;;;Account_Management;
auxiliary;LELCS;;x;;;Account_Management;
CORE;LELIO;;x;;x;Account_Management;
auxiliary;LELIO;;x;;x;Account_Management;
Account_Management;LGRDO;;x;;;CORE;
Lending;LGRDO;;x;;;CORE;
auxiliary;LGRDO;;x;;;CORE;
Account_Management;LGXFO;;x;;;CORE;
auxiliary;LGXFO;;x;;;CORE;
CORE;LHOLL;x;;;;CORE;
Account_Management;LHOLO;;x;;;CORE;
Financial_Markets;LHOLO;;x;;;CORE;
auxiliary;LHOLO;;x;;;CORE;
CORE;LPHIO;;x;;x;Account_Management;
auxiliary;LPHIO;;x;;x;Account_Management;
Account_Management;LPHYL;x;;;;Account_Management;
General_Ledger;LPHYS;;x;;;Account_Management;
Lending;LPHYS;;x;;;Account_Management;Get Party Info 
Financial_Markets;LPHYS;;x;;;Account_Management;
Cash_Management;LPHYS;;x;;;Account_Management;[T] Get Party Info
CORE;LPHYS;;x;;;Account_Management;
auxiliary;LPHYS;;x;;;Account_Management;
CORE;LPMML;x;;;;auxiliary;
CORE;LPRCL;x;;;;CORE;
General_Ledger;LPRCO;x;x;;;CORE;
Account_Management;LPRCO;x;x;;;CORE;
Financial_Markets;LPRCO;x;x;;;CORE;
auxiliary;LPRCO;x;x;;;CORE;
CORE;LPRDL;x;;;;CORE;
General_Ledger;LPRDS;;x;;;CORE;
Account_Management;LPRDS;;x;;;CORE;
Lending;LPRDS;;x;;;CORE;
Financial_Markets;LPRDS;;x;;;CORE;
Cash_Management;LPRDS;;x;;;CORE;
auxiliary;LPRDS;;x;;;CORE;
Account_Management;LPRFS;;x;;;General_Ledger;
Financial_Markets;LPRFS;;x;;;General_Ledger;
CORE;LPRFS;;x;;;General_Ledger;
auxiliary;LPRFS;;x;;;General_Ledger;
Account_Management;LPSIO;;x;;x;auxiliary;
CORE;LPSIO;;x;;x;auxiliary;
Account_Management;LPSNL;x;;;;Account_Management;
General_Ledger;LPSNS;x;;;;Account_Management;
Lending;LPSNS;x;;;;Account_Management;Get Party Info 
Financial_Markets;LPSNS;x;;;;Account_Management;
Cash_Management;LPSNS;x;;;;Account_Management;[T] Get Party Info
CORE;LPSNS;x;;;;Account_Management;
auxiliary;LPSNS;x;;;;Account_Management;
Account_Management;LRCES;x;x;;;General_Ledger;
Lending;LRCES;x;x;;;General_Ledger;Get Ledger Account Info
Financial_Markets;LRCES;x;x;;;General_Ledger;
Cash_Management;LRCES;x;x;;;General_Ledger;
CORE;LRCES;x;x;;;General_Ledger;
auxiliary;LRCES;x;x;;;General_Ledger;
General_Ledger;LRCLL;x;;;;CORE;
General_Ledger;LRESS;;x;;;CORE;
Account_Management;LRESS;;x;;;CORE;
auxiliary;LRESS;;x;;;CORE;
General_Ledger;LSUPL;;;;x;General_Ledger;
Account_Management;LSUPS;;x;;;General_Ledger;
CORE;LSUPS;;x;;;General_Ledger;
auxiliary;LSUPS;;x;;;General_Ledger;
Account_Management;LTARO;;x;;;Cash_Management;
CORE;LTARO;;x;;;Cash_Management;
auxiliary;LTARO;;x;;;Cash_Management;
CORE;MNDEF;x;;;;auxiliary;
CORE;NWSMN;x;;;;auxiliary;
Account_Management;PRNTR;x;;;;auxiliary;
CORE;PRNTR;x;;;;auxiliary;
CORE;PRSIO;;x;;;auxiliary;
General_Ledger;PRSNL;x;;x;;CORE;
Account_Management;PRSNL;x;;x;;CORE;
Lending;PRSNL;x;;x;;CORE;
Financial_Markets;PRSNL;x;;x;;CORE;
Cash_Management;PRSNL;x;;x;;CORE;
auxiliary;PRSNL;x;;x;;CORE;
Account_Management;RCHDS;;x;;;Cash_Management;
Financial_Markets;RCHDS;;x;;;Cash_Management;
CORE;RCHDS;;x;;;Cash_Management;
auxiliary;RCHDS;;x;;;Cash_Management;
Account_Management;RCHQS;;x;;;Cash_Management;
Financial_Markets;RCHQS;;x;;;Cash_Management;
CORE;RCHQS;;x;;;Cash_Management;
